year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,candidate_num,party,writein,mode,candidatevotes,totalvotes,unofficial,version,Vote_Percent,candidate_scale,Vote_Percent_abs,Party_Label,text,Points,Year_Abrv
1976,New Jersey,NJ,34,22,12,US Senate,statewide,gen,FALSE,"Harrison A. Williams, Jr.",2,democrat,FALSE,total,1681140,2771390,FALSE,20171011,0.60660535,1,0.60660535,D,"Harrison A. Williams, Jr. (D) 60.7%<br>",60.7%,76
1976,New Jersey,NJ,34,22,12,US Senate,statewide,gen,FALSE,Bernardo S. Doganiero,4,socialist labor,FALSE,total,9185,2771390,FALSE,20171011,0.003314221,1,0.003314221,Other,Bernardo S. Doganiero (Other) 0.3%<br>,0.3%,76
1976,New Jersey,NJ,34,22,12,US Senate,statewide,gen,FALSE,David F. Norcross,-1,republican,FALSE,total,1054508,2771390,FALSE,20171011,-0.380497873,-1,0.380497873,R,David F. Norcross (R) 38%<br>,38%,76
1976,New Mexico,NM,35,85,66,US Senate,statewide,gen,FALSE,Ernesto B. Borunda,4,la raza unida,FALSE,total,1087,413056,FALSE,20171011,0.002631604,1,0.002631604,Other,Ernesto B. Borunda (Other) 0.3%<br>,0.3%,76
1976,New Mexico,NM,35,85,66,US Senate,statewide,gen,FALSE,Joseph M. Montoya,2,democrat,FALSE,total,176382,413056,FALSE,20171011,0.42701716,1,0.42701716,D,Joseph M. Montoya (D) 42.7%<br>,42.7%,76
1976,New Mexico,NM,35,85,66,US Senate,statewide,gen,FALSE,"Malcolm ""Matt"" Dillon",4,american,FALSE,total,906,413056,FALSE,20171011,0.002193407,1,0.002193407,Other,"Malcolm ""Matt"" Dillon (Other) 0.2%<br>",0.2%,76
1976,New Mexico,NM,35,85,66,US Senate,statewide,gen,FALSE,"Harrison ""Jack"" Schmitt",-1,republican,FALSE,total,234681,413056,FALSE,20171011,-0.568157828,-1,0.568157828,R,"Harrison ""Jack"" Schmitt (R) 56.8%<br>",56.8%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Marcia Gallo,4,socialist workers,FALSE,total,16350,6666875,FALSE,20171011,0.002452423,1,0.002452423,Other,Marcia Gallo (Other) 0.2%<br>,0.2%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Daniel Patrick Moynihan,4,liberal,FALSE,total,184083,6666875,FALSE,20171011,0.027611587,1,0.027611587,Other,Daniel Patrick Moynihan (Other) 2.8%<br>,2.8%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,James L. Buckley,4,conservative,FALSE,total,311494,6666875,FALSE,20171011,0.04672264,1,0.04672264,Other,James L. Buckley (Other) 4.7%<br>,4.7%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Elijah C. Boyd,4,labor,FALSE,total,6716,6666875,FALSE,20171011,0.001007369,1,0.001007369,Other,Elijah C. Boyd (Other) 0.1%<br>,0.1%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Herbert Aptheker,4,communist,FALSE,total,25141,6666875,FALSE,20171011,0.003771032,1,0.003771032,Other,Herbert Aptheker (Other) 0.4%<br>,0.4%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Martin E. Nixon,4,libertarian,FALSE,total,10943,6666875,FALSE,20171011,0.001641399,1,0.001641399,L,Martin E. Nixon (L) 0.2%<br>,0.2%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Other,4,,FALSE,total,348498,6666875,FALSE,20171011,0.052273066,1,0.052273066,Other,Other (Other) 5.2%<br>,5.2%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,James L. Buckley,-1,republican,FALSE,total,2525139,6666875,FALSE,20171011,-0.378759014,-1,0.378759014,R,James L. Buckley (R) 37.9%<br>,37.9%,76
1976,New York,NY,36,21,13,US Senate,statewide,gen,FALSE,Daniel Patrick Moynihan,2,democrat,FALSE,total,3238511,6666875,FALSE,20171011,0.48576147,1,0.48576147,D,Daniel Patrick Moynihan (D) 48.6%<br>,48.6%,76
1976,North Dakota,ND,38,44,36,US Senate,statewide,gen,FALSE,Robert Stroup,-1,republican,FALSE,total,103466,283062,FALSE,20171011,-0.365524161,-1,0.365524161,R,Robert Stroup (R) 36.6%<br>,36.6%,76
1976,North Dakota,ND,38,44,36,US Senate,statewide,gen,FALSE,Quentin N. Burdick,2,democrat,FALSE,total,175772,283062,FALSE,20171011,0.620966431,1,0.620966431,D,Quentin N. Burdick (D) 62.1%<br>,62.1%,76
1976,North Dakota,ND,38,44,36,US Senate,statewide,gen,FALSE,Clarence Haggard,4,american,FALSE,total,3824,283062,FALSE,20171011,0.013509408,1,0.013509408,Other,Clarence Haggard (Other) 1.4%<br>,1.4%,76
1976,Ohio,OH,39,31,24,US Senate,statewide,gen,FALSE,Emma Lila Fundaburk,3,independent,FALSE,total,33285,3920613,FALSE,20171011,0.008489744,1,0.008489744,I,Emma Lila Fundaburk (I) 0.8%<br>,0.8%,76
1976,Ohio,OH,39,31,24,US Senate,statewide,gen,FALSE,Howard M. Metzenbaum,2,democrat,FALSE,total,1941113,3920613,FALSE,20171011,0.495104465,1,0.495104465,D,Howard M. Metzenbaum (D) 49.5%<br>,49.5%,76
1976,Ohio,OH,39,31,24,US Senate,statewide,gen,FALSE,"Robert Taft, Jr.",-1,republican,FALSE,total,1823774,3920613,FALSE,20171011,-0.465175726,-1,0.465175726,R,"Robert Taft, Jr. (R) 46.5%<br>",46.5%,76
1976,Ohio,OH,39,31,24,US Senate,statewide,gen,FALSE,Melisa Singler,4,socialist workers,FALSE,total,31805,3920613,FALSE,20171011,0.008112252,1,0.008112252,Other,Melisa Singler (Other) 0.8%<br>,0.8%,76
1976,Ohio,OH,39,31,24,US Senate,statewide,gen,FALSE,Donald E. Babcock,4,american,FALSE,total,36979,3920613,FALSE,20171011,0.009431943,1,0.009431943,Other,Donald E. Babcock (Other) 0.9%<br>,0.9%,76
1976,Ohio,OH,39,31,24,US Senate,statewide,gen,FALSE,John O'Neill,3,independent,FALSE,total,53657,3920613,FALSE,20171011,0.01368587,1,0.01368587,I,John O'Neill (I) 1.4%<br>,1.4%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,H. John Heinz III,-1,republican,FALSE,total,2381891,4546353,FALSE,20171011,-0.523912463,-1,0.523912463,R,H. John Heinz III (R) 52.4%<br>,52.4%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,Frederick W. Stanton,4,socialist workers,FALSE,total,5484,4546353,FALSE,20171011,0.001206242,1,0.001206242,Other,Frederick W. Stanton (Other) 0.1%<br>,0.1%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,Bernard Salera,4,labor,FALSE,total,3637,4546353,FALSE,20171011,0.000799982,1,0.000799982,Other,Bernard Salera (Other) 0.1%<br>,0.1%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,Frank Kinces,4,communist,FALSE,total,2097,4546353,FALSE,20171011,0.000461249,1,0.000461249,Other,Frank Kinces (Other) 0%<br>,0%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,Andrew J. Watson,4,constitution,FALSE,total,26028,4546353,FALSE,20171011,0.005725028,1,0.005725028,Other,Andrew J. Watson (Other) 0.6%<br>,0.6%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,William J. Green,2,democrat,FALSE,total,2126977,4546353,FALSE,20171011,0.467842466,1,0.467842466,D,William J. Green (D) 46.8%<br>,46.8%,76
1976,Pennsylvania,PA,42,23,14,US Senate,statewide,gen,FALSE,Other,4,,FALSE,total,239,4546353,FALSE,20171011,5.25696E-05,1,5.25696E-05,Other,Other (Other) 0%<br>,0%,76
1976,Rhode Island,RI,44,15,5,US Senate,statewide,gen,FALSE,Richard P. Lorber,2,democrat,FALSE,total,167665,398906,FALSE,20171011,0.420312053,1,0.420312053,D,Richard P. Lorber (D) 42%<br>,42%,76
1976,Rhode Island,RI,44,15,5,US Senate,statewide,gen,FALSE,John H. Chafee,-1,republican,FALSE,total,230329,398906,FALSE,20171011,-0.577401694,-1,0.577401694,R,John H. Chafee (R) 57.7%<br>,57.7%,76
1976,Rhode Island,RI,44,15,5,US Senate,statewide,gen,FALSE,Margaret R. Cann,4,communist,FALSE,total,912,398906,FALSE,20171011,0.002286253,1,0.002286253,Other,Margaret R. Cann (Other) 0.2%<br>,0.2%,76
1976,Tennessee,TN,47,62,54,US Senate,statewide,gen,FALSE,Mark Clark Bates,3,independent,FALSE,total,5137,1432046,FALSE,20171011,0.003587175,1,0.003587175,I,Mark Clark Bates (I) 0.4%<br>,0.4%,76
1976,Tennessee,TN,47,62,54,US Senate,statewide,gen,FALSE,Willie C. Jacox,3,independent,FALSE,total,1406,1432046,FALSE,20171011,0.000981812,1,0.000981812,I,Willie C. Jacox (I) 0.1%<br>,0.1%,76
1976,Tennessee,TN,47,62,54,US Senate,statewide,gen,FALSE,NA,4,NA,TRUE,total,31,1432046,FALSE,20171011,2.16473E-05,1,2.16473E-05,Other,NA (Other) 0%<br>,0%,76
1976,Tennessee,TN,47,62,54,US Senate,statewide,gen,FALSE,James R. Sasser,2,democrat,FALSE,total,751180,1432046,FALSE,20171011,0.524550189,1,0.524550189,D,James R. Sasser (D) 52.5%<br>,52.5%,76
1976,Tennessee,TN,47,62,54,US Senate,statewide,gen,FALSE,Arnold Joseph Zandie,3,independent,FALSE,total,1061,1432046,FALSE,20171011,0.000740898,1,0.000740898,I,Arnold Joseph Zandie (I) 0.1%<br>,0.1%,76
1976,Tennessee,TN,47,62,54,US Senate,statewide,gen,FALSE,Bill Brock,-1,republican,FALSE,total,673231,1432046,FALSE,20171011,-0.470118278,-1,0.470118278,R,Bill Brock (R) 47%<br>,47%,76
1976,Texas,TX,48,74,49,US Senate,statewide,gen,FALSE,Pedro Vasquez,4,socialist workers,FALSE,total,20549,3874230,FALSE,20171011,0.005304022,1,0.005304022,Other,Pedro Vasquez (Other) 0.5%<br>,0.5%,76
1976,Texas,TX,48,74,49,US Senate,statewide,gen,FALSE,Marjorie P. Gallion,4,american,FALSE,total,17355,3874230,FALSE,20171011,0.0044796,1,0.0044796,Other,Marjorie P. Gallion (Other) 0.4%<br>,0.4%,76
1976,Texas,TX,48,74,49,US Senate,statewide,gen,FALSE,Alan Steelman,-1,republican,FALSE,total,1636370,3874230,FALSE,20171011,-0.422372962,-1,0.422372962,R,Alan Steelman (R) 42.2%<br>,42.2%,76
1976,Texas,TX,48,74,49,US Senate,statewide,gen,FALSE,Lloyd Bentsen,2,democrat,FALSE,total,2199956,3874230,FALSE,20171011,0.567843417,1,0.567843417,D,Lloyd Bentsen (D) 56.8%<br>,56.8%,76
1976,Utah,UT,49,87,67,US Senate,statewide,gen,FALSE,Steve Trotter,4,libertarian,FALSE,total,3026,522108,FALSE,20171011,0.005795736,1,0.005795736,L,Steve Trotter (L) 0.6%<br>,0.6%,76
1976,Utah,UT,49,87,67,US Senate,statewide,gen,FALSE,George Merl Batchelor,4,american,FALSE,total,4913,522108,FALSE,20171011,0.009409931,1,0.009409931,Other,George Merl Batchelor (Other) 0.9%<br>,0.9%,76
